"","category","sellable_online","other_colors","depth","height","width","price","newprice"
"1","Chairs","TRUE","No",44,103,52,149,0
"2","Tables & desks","TRUE","No",46,83,80,5465,1
"3","Bookcases & shelving units","TRUE","No",35,176,86,660,0
"4","Sofas & armchairs","TRUE","Yes",46,83,80,395,0
"5","Chairs","TRUE","Yes",164,104,117,1895,1
"6","Nursery furniture","TRUE","No",53,93,52,375,0
"7","Sofas & armchairs","TRUE","No",46,15,80,150,0
"8","Cabinets & cupboards","TRUE","No",47,92,45,375,0
"9","Wardrobes","TRUE","No",47,186,120,995,0
"10","Chairs","TRUE","No",61,87,56,400,0
"11","Cabinets & cupboards","TRUE","Yes",42,192,120,1850,1
"12","Bar furniture","TRUE","No",46,83,80,2176,1
"13","Sofas & armchairs","TRUE","Yes",164,102,367,8240,1
"14","Outdoor furniture","TRUE","No",46,49,89,205,0
"15","Tables & desks","TRUE","Yes",46,83,110,825,0
"16","Sofas & armchairs","TRUE","Yes",88,85,285,4580,1
"17","Tables & desks","TRUE","Yes",38,66,54,375,0
"18","Sofas & armchairs","TRUE","Yes",53,21,86,1685,1
"19","Bookcases & shelving units","TRUE","No",27,140,60,59,0
"20","Beds","TRUE","No",46,83,85,395,0
"21","Tables & desks","TRUE","Yes",50,75,73,175,0
"22","Wardrobes","TRUE","No",66,236,200,4200,1
"23","Sofas & armchairs","TRUE","Yes",106,88,178,1836,1
"24","Beds","TRUE","No",46,83,80,49,0
"25","Tables & desks","TRUE","Yes",46,48,75,595,0
"26","Chairs","TRUE","No",51,114,43,345,0
"27","TV & media furniture","TRUE","Yes",28,83,20,27,0
"28","Cabinets & cupboards","TRUE","No",30,83,17,17,0
"29","TV & media furniture","TRUE","Yes",41,95,336,1385,1
"30","Children's furniture","TRUE","No",53,35,62,295,0
"31","Tables & desks","TRUE","No",46,72,75,1099,1
"32","Children's furniture","TRUE","Yes",50,75,105,276,0
"33","Chairs","TRUE","No",46,83,80,1475,1
"34","Sofas & armchairs","TRUE","Yes",46,83,80,320,0
"35","Wardrobes","TRUE","No",59,216,62,895,0
"36","Sofas & armchairs","TRUE","No",98,62,24,356,0
"37","Bookcases & shelving units","TRUE","No",46,83,80,25,0
"38","Cabinets & cupboards","TRUE","No",47,192,135,2775,1
"39","Wardrobes","TRUE","No",46,236,110,1410,1
"40","Sofas & armchairs","TRUE","Yes",46,83,75,104,0
"41","Sofas & armchairs","TRUE","Yes",98,104,160,3540,1
"42","Chairs","TRUE","No",46,83,80,1196,1
"43","Wardrobes","TRUE","No",50,83,76,45,0
"44","Chairs","TRUE","Yes",82,100,68,995,0
"45","Wardrobes","TRUE","No",66,236,150,3120,1
"46","Bookcases & shelving units","TRUE","No",40,190,254,1335,1
"47","Cabinets & cupboards","TRUE","Yes",45,101,61,1294,1
"48","Sofas & armchairs","TRUE","Yes",98,83,171,1995,1
"49","Chairs","TRUE","No",46,83,87,3015,1
"50","TV & media furniture","TRUE","Yes",40,38,120,375,0
"51","Tables & desks","TRUE","No",41,43,56,95,0
"52","Beds","TRUE","Yes",98,83,160,2945,1
"53","Chairs","TRUE","Yes",89,78,89,1395,1
"54","Chests of drawers & drawer units","TRUE","No",57,73,60,456,0
"55","Bookcases & shelving units","TRUE","No",55,110,234,1125,1
"56","Wardrobes","TRUE","No",55,216,164,1181,1
"57","Chairs","TRUE","No",42,83,40,69,0
"58","Chairs","TRUE","No",68,83,68,945,0
"59","Chairs","TRUE","No",45,77,41,220,0
